Model,AV,AC,PR,UI,S,C,I,A,Avg Accuracy,RMSE,MAE,Correlation,Samples,Valid Pred
gpt-4o,97.4%,93.4%,77.6%,96.1%,67.1%,80.3%,89.5%,92.1%,86.7%,1.467,0.941,0.765,76,79
gpt-4,97.9%,92.6%,76.6%,94.7%,62.8%,78.7%,84.0%,88.3%,84.4%,1.660,1.130,0.689,94,97
gpt-4o-mini,97.7%,94.3%,75.9%,92.0%,55.2%,77.0%,81.6%,83.9%,82.2%,1.803,1.209,0.674,87,89
gemini-1.5-pro,97.0%,92.5%,70.1%,59.7%,70.1%,73.1%,74.6%,74.6%,76.5%,1.978,1.472,0.438,67,70
llama-3.1-70b,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0.000,0.000,0,0
